activity_id,date_local,name,sport,location,distance_km,duration_s,duration_hms,avg_hr,max_hr,elev_gain_m,elev_loss_m,aero_TE,ana_TE,vo2max,avg_speed_mps,max_speed_mps,pace_min_per_km,hr_z1_s,hr_z2_s,hr_z3_s,hr_z4_s,hr_z5_s,is_parent,has_polyline,calories,sets_info
19907274933,2025-07-31 16:21:34,Musculation,strength_training,,0.0,3308.73,55m09s,102.0,150.0,,,0.5,0.0,,,,,975.121,564.656,17.0,0.0,0.0,False,False,207.0,"[{'category': 'BENCH_PRESS', 'reps': 56, 'volume': 1195000, 'duration': 189387.0029449463, 'sets': 5, 'maxWeight': 25000}, {'category': 'PUSH_UP', 'reps': 22, 'volume': 440000, 'duration': 61022.00126647949, 'sets': 2, 'maxWeight': 20000}, {'category': 'TRICEPS_EXTENSION', 'reps': 22, 'volume': 440000, 'duration': 71071.00105285645, 'sets': 2, 'maxWeight': 20000}, {'category': 'PULL_UP', 'reps': 70, 'volume': 1270000, 'duration': 241527.9941558838, 'sets': 6, 'maxWeight': 30000}, {'category': 'UNKNOWN', 'reps': 148, 'volume': 3840000, 'duration': 555213.0012512207, 'sets': 10, 'maxWeight': 40000}, {'category': 'ROW', 'reps': 24, 'volume': 480000, 'duration': 70596.00067138672, 'sets': 2, 'maxWeight': 20000}]"
19899996656,2025-07-30 22:06:34,Antony Randonnée,hiking,Antony,3.846,2688.08,44m48s,84.0,112.0,35.0,9.0,0.10000000149011612,0.0,,1.431,1.801,11:38/km,147.923,0.0,0.0,0.0,0.0,False,True,100.0,
19886949459,2025-07-29 18:18:56,Zoteux Cyclisme sur route,road_biking,Zoteux,24.559,3493.07,58m13s,157.0,186.0,269.0,264.0,3.5,2.0,,7.022,14.015,2:22/km,85.001,518.997,1792.242,1055.001,0.0,False,True,542.0,
19876413032,2025-07-28 19:19:52,Zoteux Course à pied,running,Zoteux,5.013,1619.71,27m00s,163.0,191.0,59.0,57.0,3.299999952316284,0.0,55.0,3.092,4.096,5:23/km,28.0,198.004,482.97,780.963,101.664,False,True,289.0,
19862326165,2025-07-27 11:37:39,Nat. piscine,lap_swimming,,1.0,1995.16,33m15s,126.0,168.0,,,2.200000047683716,1.399999976158142,,,,33:15/km,386.24,552.467,534.768,10.0,0.0,False,False,209.0,
19855112165,2025-07-26 15:29:13,Zoteux VTT,mountain_biking,Zoteux,16.224,5875.33,1h37m55s,129.0,172.0,261.0,256.0,2.4000000953674316,0.8999999761581421,,2.988,12.914,6:02/km,1145.958,2781.021,1212.807,49.986,0.0,False,True,571.0,
19827526798,2025-07-23 20:44:28,Massy Course à pied,running,Massy,4.007,1197.45,19m57s,166.0,186.0,14.0,17.0,3.0999999046325684,0.0,55.0,3.343,3.704,4:58/km,0.0,290.979,251.987,654.378,0.0,False,True,220.0,
19822235327,2025-07-23 12:14:28,Musculation,strength_training,,0.0,2855.67,47m36s,108.0,159.0,,,0.800000011920929,0.30000001192092896,,,,,914.212,715.314,37.0,0.0,0.0,False,False,202.0,"[{'category': 'BENCH_PRESS', 'reps': 49, 'volume': 1405000, 'duration': 160008.9988708496, 'sets': 4, 'maxWeight': 30000}, {'category': 'PUSH_UP', 'reps': 36, 'volume': 720000, 'duration': 97326.00021362305, 'sets': 3, 'maxWeight': 20000}, {'category': 'PULL_UP', 'reps': 10, 'volume': 300000, 'duration': 24856.000900268555, 'sets': 1, 'maxWeight': 30000}, {'category': 'UNKNOWN', 'reps': 141, 'volume': 3165000, 'duration': 720831.0031890869, 'sets': 12, 'maxWeight': 30000}, {'category': 'ROW', 'reps': 51, 'volume': 1275000, 'duration': 142483.00170898438, 'sets': 4, 'maxWeight': 30000}]"
19791491313,2025-07-20 13:07:02,Massy Course à pied,running,Massy,5.017,1558.29,25m58s,166.0,191.0,29.0,31.0,3.4000000953674316,0.0,54.0,3.23,3.77,5:10/km,24.998,253.001,214.981,790.925,233.764,False,True,283.0,
19754687088,2025-07-16 20:01:01,Massy Course à pied,running,Massy,5.013,1719.35,28m39s,158.0,179.0,30.0,34.0,3.0999999046325684,0.0,54.0,2.906,3.751,5:42/km,36.0,283.001,917.97,460.093,0.0,False,True,290.0,
19740883948,2025-07-15 14:49:49,Nat. piscine,lap_swimming,,2.3,3906.49,1h05m06s,144.0,185.0,,,3.0999999046325684,1.0,,,,28:18/km,190.544,2229.39,866.829,603.434,0.0,False,False,519.0,
17756388828,,Activité,,,0.0,0.0,0m00s,,,,,,,,3.193,4.805,,,,,,,False,False,,
