lat,speed_mps,timestamp_gmt_ms,lon,hr,time_s,elapsed_s,moving_s,elev_m,body_battery,dist_m,vert_mps,timestamp_utc
50.63376202248037,5.701000213623047,1753539804000.0,1.8178725242614746,136.0,3251.0,3251.0,2872.0,163.60000610351562,65.0,8398.0703125,-0.20000000298023224,2025-07-26 14:23:24+00:00
50.63373226672411,5.328000068664551,1753539805000.0,1.8179332092404366,139.0,3252.0,3252.0,2873.0,163.0,65.0,8403.5498046875,-0.6000000238418579,2025-07-26 14:23:25+00:00
50.63366345129907,5.336999893188477,1753539807000.0,1.8180420063436031,140.0,3254.0,3254.0,2875.0,163.1999969482422,65.0,8414.5400390625,0.10000000149011612,2025-07-26 14:23:27+00:00
50.63355892896652,5.664000034332275,1753539810000.0,1.8182241450995207,143.0,3257.0,3257.0,2878.0,162.39999389648438,65.0,8431.91015625,-0.2669999897480011,2025-07-26 14:23:30+00:00
50.63348835334182,5.336999893188477,1753539812000.0,1.8183374684304,146.0,3259.0,3259.0,2880.0,161.60000610351562,65.0,8443.23046875,-0.4000000059604645,2025-07-26 14:23:32+00:00
50.6334563344717,5.374000072479248,1753539813000.0,1.8183956388384104,147.0,3260.0,3260.0,2881.0,161.1999969482422,65.0,8448.7099609375,-0.4000000059604645,2025-07-26 14:23:33+00:00
50.63333303667605,5.841000080108643,1753539817000.0,1.8186392169445753,146.0,3264.0,3264.0,2885.0,161.1999969482422,65.0,8470.8095703125,0.0,2025-07-26 14:23:37+00:00
50.633272770792246,6.185999870300293,1753539819000.0,1.8187751714140177,143.0,3266.0,3266.0,2887.0,160.60000610351562,65.0,8482.2998046875,-0.30000001192092896,2025-07-26 14:23:39+00:00
50.633220886811614,6.120999813079834,1753539821000.0,1.8189257942140102,140.0,3268.0,3268.0,2889.0,160.1999969482422,65.0,8494.4404296875,-0.20000000298023224,2025-07-26 14:23:41+00:00
50.63319121487439,6.559000015258789,1753539822000.0,1.8190072663128376,138.0,3269.0,3269.0,2890.0,160.1999969482422,65.0,8500.919921875,0.0,2025-07-26 14:23:42+00:00
50.63312550075352,6.736999988555908,1753539824000.0,1.8191716354340315,133.0,3271.0,3271.0,2892.0,160.0,65.0,8514.3701171875,-0.10000000149011612,2025-07-26 14:23:44+00:00
50.63304763287306,6.232999801635742,1753539826000.0,1.8193132895976305,131.0,3273.0,3273.0,2894.0,159.39999389648438,65.0,8527.400390625,-0.30000001192092896,2025-07-26 14:23:46+00:00
50.63301343470812,5.636000156402588,1753539827000.0,1.819378500804305,131.0,3274.0,3274.0,2895.0,159.1999969482422,65.0,8533.740234375,-0.20000000298023224,2025-07-26 14:23:47+00:00
50.63294420018792,6.14900016784668,1753539829000.0,1.8195215798914433,132.0,3276.0,3276.0,2897.0,158.39999389648438,65.0,8545.759765625,-0.4000000059604645,2025-07-26 14:23:49+00:00
50.63288485631347,5.066999912261963,1753539831000.0,1.8196466378867626,133.0,3278.0,3278.0,2899.0,157.8000030517578,65.0,8556.8798828125,-0.30000001192092896,2025-07-26 14:23:51+00:00
50.63279709778726,5.216000080108643,1753539834000.0,1.8198401760309935,131.0,3281.0,3281.0,2902.0,157.0,65.0,8573.5595703125,-0.2669999897480011,2025-07-26 14:23:54+00:00
50.632736664265394,4.7769999504089355,1753539836000.0,1.819963390007615,130.0,3283.0,3283.0,2904.0,156.8000030517578,65.0,8584.8701171875,-0.10000000149011612,2025-07-26 14:23:56+00:00
50.6326190661639,4.451000213623047,1753539840000.0,1.8201959878206253,131.0,3287.0,3287.0,2908.0,156.39999389648438,65.0,8604.8603515625,-0.10000000149011612,2025-07-26 14:24:00+00:00
50.632487973198295,3.563999891281128,1753539845000.0,1.8204692378640175,131.0,3292.0,3292.0,2913.0,155.8000030517578,65.0,8629.5703125,-0.11999999731779099,2025-07-26 14:24:05+00:00
50.63246383331716,3.5739998817443848,1753539846000.0,1.8205184396356344,128.0,3293.0,3293.0,2914.0,155.39999389648438,65.0,8634.23046875,-0.4000000059604645,2025-07-26 14:24:06+00:00
50.63241203315556,3.6480000019073486,1753539848000.0,1.8206035997718573,124.0,3295.0,3295.0,2916.0,155.0,65.0,8642.0595703125,-0.20000000298023224,2025-07-26 14:24:08+00:00
