hr,body_battery,timestamp_gmt_ms,moving_s,time_s,elapsed_s,dist_m,timestamp_utc
105.0,76.0,1753266009000.0,0.0,341.0,341.0,0.0,2025-07-23 10:20:09+00:00
103.0,76.0,1753266010000.0,0.0,342.0,342.0,0.0,2025-07-23 10:20:10+00:00
100.0,76.0,1753266011000.0,0.0,343.0,343.0,0.0,2025-07-23 10:20:11+00:00
96.0,76.0,1753266012000.0,0.0,344.0,344.0,0.0,2025-07-23 10:20:12+00:00
94.0,76.0,1753266013000.0,0.0,345.0,345.0,0.0,2025-07-23 10:20:13+00:00
93.0,76.0,1753266014000.0,0.0,346.0,346.0,0.0,2025-07-23 10:20:14+00:00
92.0,76.0,1753266015000.0,0.0,347.0,347.0,0.0,2025-07-23 10:20:15+00:00
91.0,76.0,1753266017000.0,0.0,349.0,349.0,0.0,2025-07-23 10:20:17+00:00
90.0,76.0,1753266019000.0,0.0,351.0,351.0,0.0,2025-07-23 10:20:19+00:00
91.0,76.0,1753266022000.0,0.0,354.0,354.0,0.0,2025-07-23 10:20:22+00:00
92.0,76.0,1753266025000.0,0.0,357.0,357.0,0.0,2025-07-23 10:20:25+00:00
91.0,76.0,1753266026000.0,0.0,358.0,358.0,0.0,2025-07-23 10:20:26+00:00
92.0,76.0,1753266027000.0,0.0,359.0,359.0,0.0,2025-07-23 10:20:27+00:00
93.0,76.0,1753266029000.0,0.0,361.0,361.0,0.0,2025-07-23 10:20:29+00:00
94.0,76.0,1753266031000.0,0.0,363.0,363.0,0.0,2025-07-23 10:20:31+00:00
95.0,76.0,1753266033000.0,0.0,365.0,365.0,0.0,2025-07-23 10:20:33+00:00
96.0,76.0,1753266035000.0,0.0,367.0,367.0,0.0,2025-07-23 10:20:35+00:00
95.0,76.0,1753266037000.0,0.0,369.0,369.0,0.0,2025-07-23 10:20:37+00:00
92.0,76.0,1753266038000.0,0.0,370.0,370.0,0.0,2025-07-23 10:20:38+00:00
90.0,76.0,1753266039000.0,0.0,371.0,371.0,0.0,2025-07-23 10:20:39+00:00
89.0,76.0,1753266040000.0,0.0,372.0,372.0,0.0,2025-07-23 10:20:40+00:00
86.0,76.0,1753266042000.0,0.0,374.0,374.0,0.0,2025-07-23 10:20:42+00:00
84.0,76.0,1753266043000.0,0.0,375.0,375.0,0.0,2025-07-23 10:20:43+00:00
82.0,76.0,1753266044000.0,0.0,376.0,376.0,0.0,2025-07-23 10:20:44+00:00
81.0,76.0,1753266045000.0,0.0,377.0,377.0,0.0,2025-07-23 10:20:45+00:00
80.0,76.0,1753266046000.0,0.0,378.0,378.0,0.0,2025-07-23 10:20:46+00:00
79.0,76.0,1753266047000.0,0.0,379.0,379.0,0.0,2025-07-23 10:20:47+00:00
77.0,76.0,1753266048000.0,0.0,380.0,380.0,0.0,2025-07-23 10:20:48+00:00
74.0,76.0,1753266049000.0,0.0,381.0,381.0,0.0,2025-07-23 10:20:49+00:00
74.0,76.0,1753266050000.0,0.0,382.0,382.0,0.0,2025-07-23 10:20:50+00:00
73.0,76.0,1753266052000.0,0.0,384.0,384.0,0.0,2025-07-23 10:20:52+00:00
72.0,76.0,1753266054000.0,0.0,386.0,386.0,0.0,2025-07-23 10:20:54+00:00
71.0,76.0,1753266059000.0,0.0,391.0,391.0,0.0,2025-07-23 10:20:59+00:00
73.0,76.0,1753266060000.0,0.0,392.0,392.0,0.0,2025-07-23 10:21:00+00:00
77.0,76.0,1753266061000.0,0.0,393.0,393.0,0.0,2025-07-23 10:21:01+00:00
84.0,76.0,1753266062000.0,0.0,394.0,394.0,0.0,2025-07-23 10:21:02+00:00
90.0,76.0,1753266063000.0,0.0,395.0,395.0,0.0,2025-07-23 10:21:03+00:00
94.0,76.0,1753266064000.0,0.0,396.0,396.0,0.0,2025-07-23 10:21:04+00:00
95.0,76.0,1753266065000.0,0.0,397.0,397.0,0.0,2025-07-23 10:21:05+00:00
94.0,76.0,1753266071000.0,0.0,403.0,403.0,0.0,2025-07-23 10:21:11+00:00
